# stage 09   label CDM   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.13750872 conv 0.02203907 dm 0.84045221
# matter shot noise 3.05072516e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
1.975824600884029669e+00 2.121000000000000000e+03 1.989039986270842997e+00 8.172801331006449743e+01 5.793934975484504868e+00 5.747185912750357062e+00 5.504765402620579451e+00 1.036432435902608695e+01
2.083297606274093550e+00 2.413000000000000000e+03 1.842850586324828122e+00 7.656741969926167712e+01 5.363896621899968409e+00 5.321459094278583102e+00 5.101479479463208122e+00 9.540221541614021916e+00
2.190806389353336936e+00 2.635000000000000000e+03 1.697710644075127506e+00 7.597930613239537934e+01 5.163428529675354817e+00 5.121990964892737530e+00 4.907265200494396851e+00 9.224477960671068288e+00
2.297525113723676959e+00 2.877000000000000000e+03 1.542209525790447344e+00 7.163869854883529342e+01 4.763067982498976782e+00 4.725056842764926657e+00 4.528204846170264197e+00 8.465455741138134371e+00
2.403844122767996527e+00 3.169000000000000000e+03 1.393956691894508326e+00 6.834018028835617997e+01 4.433618464100982592e+00 4.398587260206962668e+00 4.217295431580589948e+00 7.886531483972698098e+00
2.511414911497361846e+00 3.507000000000000000e+03 1.304909853964311806e+00 6.680731352041971149e+01 4.231014052963894656e+00 4.197837335906426048e+00 4.026214526874587918e+00 7.484665897989933647e+00
2.618215287650212719e+00 3.685000000000000000e+03 1.229405530096755017e+00 6.525076636743581560e+01 4.056670583578527278e+00 4.024818296664883555e+00 3.860122554700187614e+00 7.147398282666522995e+00
2.725119467431119435e+00 4.165000000000000000e+03 1.180282019604016908e+00 6.467441680741089272e+01 3.969769813828108784e+00 3.938681849223175213e+00 3.778015591576759924e+00 7.002001408889764633e+00
2.832944963321792464e+00 4.377000000000000000e+03 1.064789737334234099e+00 6.306164791805851166e+01 3.725638436024903744e+00 3.696716507783178063e+00 3.547318882387611172e+00 6.522661395895094749e+00
2.940550585514471127e+00 4.855000000000000000e+03 1.012396621369553440e+00 6.187271127355805334e+01 3.623105025174586213e+00 3.595528756671950266e+00 3.453132734712072160e+00 6.385825330749835160e+00
3.047075274303125525e+00 4.929000000000000000e+03 9.360704799474452997e-01 6.003956108173479578e+01 3.406292216632050618e+00 3.381431345819648548e+00 3.253112918436704248e+00 5.930797741640194687e+00
3.153632156805153741e+00 5.581000000000000000e+03 8.856034242914319066e-01 5.812278726937751827e+01 3.273021943562782976e+00 3.249532501289742914e+00 3.128400094621704319e+00 5.718073894194716011e+00
3.259958553874163112e+00 5.679000000000000000e+03 8.191663640177769823e-01 5.525867445593535621e+01 3.064540726955225836e+00 3.043087249609371714e+00 2.932520364654410017e+00 5.332201456376668425e+00
3.367357499753221628e+00 6.385000000000000000e+03 7.967490350691472933e-01 5.527974744984737043e+01 3.030949188081819567e+00 3.010642051289140309e+00 2.906043735577122700e+00 5.289250724459288122e+00
3.474696492921901747e+00 6.553000000000000000e+03 7.379712496381772846e-01 5.369175476613330744e+01 2.869665321401859259e+00 2.851179392110100963e+00 2.756086682240268537e+00 4.970085425754918518e+00
3.581956660963620198e+00 7.125000000000000000e+03 6.987992816482723191e-01 5.221549399812034409e+01 2.749965175642960613e+00 2.733005592489746949e+00 2.645861657166585612e+00 4.747669167078000463e+00
3.689163779191058534e+00 7.447000000000000000e+03 6.632141203694078557e-01 5.077680979565088393e+01 2.644361008790106826e+00 2.628861174365713982e+00 2.549324782411884094e+00 4.568539453014274443e+00
3.796064726937468770e+00 7.929000000000000000e+03 6.327246451021125706e-01 4.981953666124977076e+01 2.560036684481492131e+00 2.545761712232114782e+00 2.472626149673195162e+00 4.418250590934313493e+00
3.903185594229741096e+00 8.353000000000000000e+03 5.968230948638676425e-01 4.955354618363236341e+01 2.489781754451431350e+00 2.476548361121915676e+00 2.408899560011411811e+00 4.283928262763353700e+00
4.009628416058343525e+00 8.775000000000000000e+03 5.715737273821753783e-01 4.726400629459171654e+01 2.367162630555885272e+00 2.355412078024045286e+00 2.295547171910958362e+00 4.070117687486987990e+00
4.116492766962148053e+00 9.313000000000000000e+03 5.400726498479060389e-01 4.683975060608980101e+01 2.292012960471622840e+00 2.281719788466995080e+00 2.229503515860772556e+00 3.925019060163960294e+00
4.223658256356446650e+00 9.841000000000000000e+03 5.185422355625148860e-01 4.647986724073161469e+01 2.245031410505384351e+00 2.235703168510376315e+00 2.188595114924845930e+00 3.849219680462288018e+00
