# stage 09   label FCT   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.08192983 conv 0.07761797 dm 0.84045221
# matter shot noise 3.08092773e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
4.651950739451500283e+00 1.202500000000000000e+04 4.747870765399887505e-01 5.324948943663827094e+00 2.232203424482120280e+00 2.214381243296825286e+00 2.122701409927597815e+00 1.475572294669965201e+00
4.759389278045521365e+00 1.242300000000000000e+04 4.567423904487959430e-01 5.252896279977836258e+00 2.187207490050375736e+00 2.169810893804728469e+00 2.080386520617435675e+00 1.434534529402234471e+00
4.866368610315570109e+00 1.302100000000000000e+04 4.262794441444222593e-01 4.994650011222835140e+00 2.066857230628507569e+00 2.050473587492013916e+00 1.966354676713704563e+00 1.344709332833472493e+00
4.972791849647571816e+00 1.340500000000000000e+04 4.233491629724734362e-01 5.058526900237131585e+00 2.084017730646250399e+00 2.067583685979261787e+00 1.983257372387120743e+00 1.349828403903410745e+00
5.079323357706112319e+00 1.424700000000000000e+04 4.000795204496549462e-01 4.869882254338676830e+00 1.993918668303648500e+00 1.978456951024170296e+00 1.899209587170015645e+00 1.283249407427310862e+00
5.186466441086331258e+00 1.471300000000000000e+04 3.861744816922009771e-01 4.808340554691781676e+00 1.957162600530975904e+00 1.942101409823512537e+00 1.865013775831005249e+00 1.251297978045100789e+00
5.293547711166813663e+00 1.548900000000000000e+04 3.708288630132551833e-01 4.722709409510767564e+00 1.908907546347458295e+00 1.894589827843352170e+00 1.821385021420328210e+00 1.212637998408278239e+00
5.400616309572492391e+00 1.591300000000000000e+04 3.569202175622780970e-01 4.637325890208281010e+00 1.862733187866318918e+00 1.849098223699644938e+00 1.779470009789286822e+00 1.176532302366299687e+00
5.507906831765741806e+00 1.687900000000000000e+04 3.538877651519833356e-01 4.677932057987099768e+00 1.871531063112387150e+00 1.858035028886521722e+00 1.789176081370458915e+00 1.178324520152274957e+00
5.615131387668133911e+00 1.719300000000000000e+04 3.386633897540016758e-01 4.592791186996350916e+00 1.822933763958039854e+00 1.810170623513254640e+00 1.745174850656185050e+00 1.138622823194385791e+00
5.722402868387595376e+00 1.815700000000000000e+04 3.243299776536604506e-01 4.485102221997948391e+00 1.770457229203093563e+00 1.758209643217795826e+00 1.695939029214592830e+00 1.098654760046130940e+00
5.828849886830424154e+00 1.833900000000000000e+04 3.125048401897648764e-01 4.410615127292016879e+00 1.731030390449930234e+00 1.719310780202848443e+00 1.659818273269920264e+00 1.067884941575049096e+00
5.935729120148100613e+00 1.957300000000000000e+04 3.036734706428828034e-01 4.330672194199237879e+00 1.692644814045246804e+00 1.681613891157038188e+00 1.625761236271307197e+00 1.042249900164745613e+00
6.042873270617307391e+00 1.994100000000000000e+04 2.941854512398832111e-01 4.273265793999435402e+00 1.661030928991915179e+00 1.650510538831651886e+00 1.597360295586208512e+00 1.017606640817659391e+00
6.149288579584974990e+00 2.062900000000000000e+04 2.842737672767332024e-01 4.210268384449836532e+00 1.626046966669170146e+00 1.616106664135087412e+00 1.565990453156079987e+00 9.898932249823054752e-01
6.256290966960967204e+00 2.165500000000000000e+04 2.743235997047924202e-01 4.136117253329415711e+00 1.589051941680472479e+00 1.579521699062289786e+00 1.531620662715271752e+00 9.614791971666807324e-01
